id,trial,ipd,view.dist,view.angle,view.dist.factor,fishtank,rod.angle,rod.length,response
person,0,0,57,0,1,1,165,0.2,0.112
person,1,0,57,0,1,1,0,0.1,0.04699998
person,2,0,57,0,1,1,135,0.1,0.07799998
person,3,0,57,0,1,1,75,0.1,0.07899998
person,4,0,57,0,1,1,105,0.2,0.1490001
person,5,0,57,0,1,1,15,0.2,0.106
person,6,0,57,0,1,1,0,0.2,0.06699996
person,7,0,57,0,1,1,165,0.1,0.05199997
person,8,0,57,0,1,1,135,0.2,0.1260001
person,9,0,57,0,1,1,45,0.1,0.07499997
person,10,0,57,0,1,1,75,0.2,0.1630002
person,11,0,57,0,1,1,60,0.2,0.1270001
person,12,0,57,0,1,1,90,0.1,0.09100001
person,13,0,57,0,1,1,30,0.1,0.06799996
person,14,0,57,0,1,1,120,0.2,0.1770002
person,15,0,57,0,1,1,60,0.1,0.08499999
person,16,0,57,0,1,1,90,0.2,0.1960002
person,17,0,57,0,1,1,105,0.1,0.09
person,18,0,57,0,1,1,45,0.2,0.1520001
person,19,0,57,0,1,1,120,0.1,0.08499999
person,20,0,57,0,1,1,30,0.2,0.1180001
person,21,0,57,0,1,1,15,0.1,0.07099997
person,22,0,57,0,1,1,150,0.2,0.1550001
person,23,0,57,0,1,1,150,0.1,0.08199999
